epoch=30,init_lr=0.0002(decay by 0.5 in every5epochs),momentum=0.9,W_smooth=0.5,W_explain=0.05,batch size=4
2019-07-13 09:03:06.911330: epoch = 1  , step=(0/75465,0.0%), loss = 5.7 (0.5 examples/sec; 7.33 sec/batch)
2019-07-13 09:04:47.155471: epoch = 1  , step=(251/75465,0.333%), loss = 0.52 (4e+01 examples/sec; 0.099 sec/batch)
2019-07-13 09:06:27.905251: epoch = 1  , step=(502/75465,0.665%), loss = 0.67 (4e+01 examples/sec; 0.0973 sec/batch)
2019-07-13 09:08:09.295751: epoch = 1  , step=(753/75465,0.998%), loss = 0.52 (4e+01 examples/sec; 0.0917 sec/batch)
2019-07-13 09:09:49.945113: epoch = 1  , step=(1004/75465,1.33%), loss = 0.64 (4e+01 examples/sec; 0.0942 sec/batch)
2019-07-13 09:11:30.491158: epoch = 1  , step=(1255/75465,1.66%), loss = 0.6 (4e+01 examples/sec; 0.0932 sec/batch)
2019-07-13 09:13:12.975634: epoch = 1  , step=(1506/75465,2.0%), loss = 0.59 (4e+01 examples/sec; 0.0998 sec/batch)
2019-07-13 09:14:54.715035: epoch = 1  , step=(1757/75465,2.33%), loss = 0.55 (4e+01 examples/sec; 0.0963 sec/batch)
2019-07-13 09:16:37.308650: epoch = 1  , step=(2008/75465,2.66%), loss = 0.55 (4e+01 examples/sec; 0.0976 sec/batch)
2019-07-13 09:18:19.133642: epoch = 1  , step=(2259/75465,2.99%), loss = 0.59 (4e+01 examples/sec; 0.0945 sec/batch)
2019-07-13 09:20:00.616728: epoch = 1  , step=(2510/75465,3.33%), loss = 0.54 (4e+01 examples/sec; 0.0951 sec/batch)
2019-07-13 09:21:47.422482: epoch = 2  , step=(2761/75465,3.66%), loss = 0.6 (4e+01 examples/sec; 0.0967 sec/batch)
2019-07-13 09:23:29.282763: epoch = 2  , step=(3012/75465,3.99%), loss = 0.48 (4e+01 examples/sec; 0.0959 sec/batch)
2019-07-13 09:25:10.049437: epoch = 2  , step=(3263/75465,4.32%), loss = 0.62 (4e+01 examples/sec; 0.0989 sec/batch)
2019-07-13 09:26:51.050009: epoch = 2  , step=(3514/75465,4.66%), loss = 0.63 (4e+01 examples/sec; 0.0992 sec/batch)
2019-07-13 09:28:33.236012: epoch = 2  , step=(3765/75465,4.99%), loss = 0.57 (4e+01 examples/sec; 0.0989 sec/batch)
2019-07-13 09:30:15.248661: epoch = 2  , step=(4016/75465,5.32%), loss = 0.6 (4e+01 examples/sec; 0.0957 sec/batch)
2019-07-13 09:31:57.839135: epoch = 2  , step=(4267/75465,5.65%), loss = 0.46 (4e+01 examples/sec; 0.093 sec/batch)
2019-07-13 09:33:39.654597: epoch = 2  , step=(4518/75465,5.99%), loss = 0.52 (4e+01 examples/sec; 0.0939 sec/batch)
2019-07-13 09:35:21.649363: epoch = 2  , step=(4769/75465,6.32%), loss = 0.53 (4e+01 examples/sec; 0.097 sec/batch)
2019-07-13 09:37:04.780589: epoch = 2  , step=(5020/75465,6.65%), loss = 0.65 (4e+01 examples/sec; 0.0986 sec/batch)
2019-07-13 09:38:50.377510: epoch = 3  , step=(5271/75465,6.98%), loss = 0.62 (4e+01 examples/sec; 0.0979 sec/batch)
2019-07-13 09:40:31.537637: epoch = 3  , step=(5522/75465,7.32%), loss = 0.45 (4e+01 examples/sec; 0.0925 sec/batch)
2019-07-13 09:42:13.534822: epoch = 3  , step=(5773/75465,7.65%), loss = 0.56 (4e+01 examples/sec; 0.0944 sec/batch)
2019-07-13 09:43:55.646575: epoch = 3  , step=(6024/75465,7.98%), loss = 0.52 (4e+01 examples/sec; 0.093 sec/batch)
2019-07-13 09:45:38.501051: epoch = 3  , step=(6275/75465,8.32%), loss = 0.53 (4e+01 examples/sec; 0.0966 sec/batch)
